# Simulation 1 (Up to date),,,,,,,,,,,,,,,,,,
# 1019 data points written for 19 variables.,,,,,,,,,,,,,,,,,,
# Simulation warnings:,,,,,,,,,,,,,,,,,,
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s�),Total velocity (m/s),Total acceleration (m/s�),Lateral velocity (m/s),Lateral acceleration (m/s�),Latitude (�),Longitude (�),Roll rate (�/s),Pitch rate (�/s),Yaw rate (�/s),Mass (g),Thrust (N),Drag force (N),Wind velocity (m/s),Air temperature (�C),Air pressure (mbar)
# Event LAUNCH occurred at t=0 seconds,,,,,,,,,,,,,,,,,,
# Event IGNITION occurred at t=0 seconds,,,,,,,,,,,,,,,,,,
0,0,0,-2.5732,0,2.583,0,0.22513,38.4,34,0,0,0,25789,185.09,0.00044499,NaN,8.695,902.1
0.01,0,0,11.726,0,11.771,0,1.0259,38.4,34,0,0,0,25789,555.26,0.00043864,NaN,8.695,902.1
0.02,0.00058638,0.11728,25.767,0.11773,25.866,0.010261,2.2543,38.4,34,0,0,0,25786,918.65,0.00067368,NaN,8.695,902.1
0.03,0.0030477,0.37499,35.677,0.37642,35.813,0.032807,3.1213,38.4,34,0,0,0,25783,1175,0.0014666,NaN,8.695,902.1
0.04,0.0085818,0.73184,44.166,0.73464,44.335,0.064028,3.8641,38.4,34,0,0,0,25777,1394.4,0.0033237,NaN,8.6949,902.1
0.05,0.018109,1.1736,52.664,1.1781,52.866,0.10268,4.6075,38.4,34,0,0,0,25769,1613.8,0.0071429,NaN,8.6949,902.1
# Event LIFTOFF occurred at t=0.06 seconds,,,,,,,,,,,,,,,,,,
0.06,0.032479,1.7004,60.89,1.7069,61.123,0.14877,5.3272,38.4,34,0,0,0,25761,1826.1,0.014322,NaN,8.6948,902.09
0.07,0.052529,2.3095,64.752,2.3183,64.999,0.20206,5.665,38.4,34,0,0,0,25753,1925.3,0.026624,NaN,8.6947,902.09
0.08,0.078863,2.9573,67.111,2.9686,67.368,0.25873,5.8715,38.4,34,0,0,0,25743,1985.6,0.044848,NaN,8.6945,902.09
0.09,0.11179,3.6287,69.476,3.6425,69.742,0.31747,6.0784,38.4,34,0,0,0,25732,2045.8,0.069626,NaN,8.6943,902.08
0.1,0.15155,4.3237,71.843,4.3402,72.118,0.37828,6.2855,38.4,34,0,0,0,25721,2106.1,0.10174,NaN,8.694,902.08
0.11,0.19838,5.0424,74.212,5.0617,74.495,0.44115,6.4927,38.4,34,0,0,0,25710,2166.3,0.14262,NaN,8.6937,902.08
0.12,0.25252,5.7848,76.582,5.8069,76.874,0.50611,6.7,38.4,34,0,0,0,25699,2226.6,0.19251,NaN,8.6934,902.07
0.13,0.3142,6.5509,78.721,6.576,79.021,0.57313,6.8872,38.4,34,0,0,0,25688,2280.9,0.25192,NaN,8.693,902.06
0.14,0.38365,7.3385,79.466,7.3665,79.769,0.64203,6.9523,38.4,34,0,0,0,25676,2299.1,0.32099,NaN,8.6925,902.05
0.15,0.461,8.1335,79.98,8.1645,80.286,0.71159,6.9974,38.4,34,0,0,0,25664,2311.4,0.39849,NaN,8.692,902.05
